Provinsi,Perkotaan_Avg,Perdesaan_Avg,Perkotaan+Perdesaan_Avg
ACEH,715.89,704.76,708.41
SUMATERA UTARA,68.97,54.26,61.38
SUMATERA BARAT,71.04,56.86,63.85
RIAU,73.99,61.73,66.77
JAMBI,74.75,59.0,64.38
SUMATERA SELATAN,73.68,56.31,62.53
BENGKULU,75.97,54.08,61.59
LAMPUNG,73.49,58.98,63.8
KEP. BANGKA BELITUNG,72.91,60.43,66.77
KEP. RIAU,81.84,70.78,78.49
DKI JAKARTA,86.68,63.07,85.64
JAWA BARAT,78.02,54.54,75.33
JAWA TENGAH,71.82,59.73,67.49
DI YOGYAKARTA,77.35,63.22,73.13
JAWA TIMUR,73.36,57.88,67.41
BANTEN,74.79,50.86,68.01
BALI,75.18,55.5,70.02
NUSA TENGGARA BARAT,68.12,53.23,61.9
NUSA TENGGARA TIMUR,70.69,43.29,51.24
KALIMANTAN BARAT,74.6,47.04,55.98
KALIMANTAN TENGAH,76.26,55.84,64.05
KALIMANTAN SELATAN,78.21,61.26,69.2
KALIMANTAN TIMUR,80.94,67.15,75.72
KALIMANTAN UTARA,82.25,63.21,75.72
SULAWESI UTARA,73.08,57.19,66.13
SULAWESI TENGAH,69.04,48.99,56.48
SULAWESI SELATAN,73.19,52.04,60.68
SULAWESI TENGGARA,72.86,55.12,62.01
GORONTALO,70.14,53.97,60.72
SULAWESI BARAT,67.08,51.82,55.96
MALUKU,70.93,45.27,54.95
MALUKU UTARA,71.64,40.15,50.47
PAPUA BARAT,74.23,44.97,55.45
PAPUA BARAT DAYA,74.29,49.82,60.01
PAPUA,66.65,10.48,26.4
PAPUA SELATAN,72.07,12.74,29.87
PAPUA TENGAH,,,
PAPUA PEGUNUNGAN,,,
INDONESIA,72.98,52.61,64.29
Catatan,,,
