Provinsi,Komputer_Avg,Laptop_Avg,Telepon_Seluler_Avg,Lainnya_Avg
ACEH,2.31,9.4,98.51,0.29
SUMATERA UTARA,1.84,8.61,98.34,0.37
SUMATERA BARAT,2.81,10.77,98.77,0.15
RIAU,1.78,8.29,98.87,0.32
JAMBI,1.37,8.05,98.71,0.3
SUMATERA SELATAN,1.54,7.09,99.06,0.22
BENGKULU,1.6,9.82,98.97,0.19
LAMPUNG,1.11,5.71,99.15,0.29
KEP. BANGKA BELITUNG,1.87,9.15,99.07,0.23
KEP. RIAU,3.66,16.56,98.49,0.54
DKI JAKARTA,3.91,21.66,97.5,0.54
JAWA BARAT,2.62,11.41,98.49,0.32
JAWA TENGAH,2.35,8.47,98.98,0.25
DI YOGYAKARTA,3.43,17.76,98.84,0.29
JAWA TIMUR,2.21,10.56,98.65,0.3
BANTEN,2.26,11.79,98.26,0.5
BALI,2.34,13.61,99.17,0.1
NUSA TENGGARA BARAT,1.7,8.42,98.77,0.22
NUSA TENGGARA TIMUR,1.9,10.13,98.61,0.18
KALIMANTAN BARAT,1.4,7.56,99.18,0.2
KALIMANTAN TENGAH,1.55,9.18,98.97,0.23
KALIMANTAN SELATAN,1.7,9.95,99.29,0.31
KALIMANTAN TIMUR,2.41,13.28,98.65,0.35
KALIMANTAN UTARA,2.23,12.02,98.89,0.5
SULAWESI UTARA,1.45,9.13,98.9,0.23
SULAWESI TENGAH,1.77,8.62,98.65,0.29
SULAWESI SELATAN,1.77,11.07,98.55,0.27
SULAWESI TENGGARA,1.41,9.33,99.11,0.16
GORONTALO,2.5,9.92,99.03,0.25
SULAWESI BARAT,1.02,6.67,98.6,0.24
MALUKU,2.98,12.36,98.91,0.22
MALUKU UTARA,1.56,7.35,98.7,0.34
PAPUA BARAT,1.33,9.43,98.72,0.33
PAPUA BARAT DAYA,,,,
PAPUA,2.61,10.73,97.81,0.59
PAPUA SELATAN,,,,
PAPUA TENGAH,,,,
PAPUA PEGUNUNGAN,,,,
INDONESIA,2.27,10.72,98.64,0.31
Catatan,,,,
