Provinsi,5-12_Avg,13-15_Avg,16-18_Avg,19-24_Avg,25+_Avg
ACEH,9.23,6.88,9.1,18.78,53.73
SUMATERA UTARA,12.92,7.8,8.92,15.59,51.2
SUMATERA BARAT,12.26,7.9,8.92,15.59,51.96
RIAU,13.32,7.56,8.23,15.11,53.0
JAMBI,12.74,6.91,8.34,15.77,53.54
SUMATERA SELATAN,14.79,7.84,8.46,15.54,50.46
BENGKULU,12.8,7.59,8.57,15.61,52.63
LAMPUNG,15.33,7.21,7.75,14.39,52.32
KEP. BANGKA BELITUNG,14.14,7.18,8.05,14.88,52.85
KEP. RIAU,13.13,5.92,6.13,12.43,58.5
DKI JAKARTA,10.27,4.98,5.63,11.95,60.77
JAWA BARAT,12.62,6.62,7.34,14.34,55.27
JAWA TENGAH,13.83,6.77,7.41,13.89,54.63
DI YOGYAKARTA,12.53,5.37,5.92,12.64,58.13
JAWA TIMUR,12.39,6.12,7.02,14.02,56.47
BANTEN,11.29,6.55,7.37,14.66,56.51
BALI,12.04,6.45,6.79,13.29,56.73
NUSA TENGGARA BARAT,16.09,7.77,8.59,15.98,49.25
NUSA TENGGARA TIMUR,10.28,7.95,10.35,18.61,50.23
KALIMANTAN BARAT,12.01,7.42,8.37,15.59,53.46
KALIMANTAN TENGAH,11.99,7.04,7.68,14.93,55.2
KALIMANTAN SELATAN,15.71,7.07,7.51,14.11,52.38
KALIMANTAN TIMUR,13.26,6.35,6.93,13.05,56.48
KALIMANTAN UTARA,13.06,7.03,7.08,14.39,54.66
SULAWESI UTARA,10.35,6.98,7.56,14.77,55.89
SULAWESI TENGAH,10.59,8.15,9.83,17.25,51.71
SULAWESI SELATAN,12.48,7.79,8.43,15.7,52.37
SULAWESI TENGGARA,12.04,8.93,9.32,16.94,50.38
GORONTALO,13.58,8.41,9.13,16.88,49.88
SULAWESI BARAT,12.28,8.57,10.5,18.43,48.32
MALUKU,10.42,7.38,9.27,17.22,52.39
MALUKU UTARA,8.99,7.99,9.34,17.84,53.65
PAPUA BARAT,10.84,7.26,8.12,15.11,55.64
PAPUA BARAT DAYA,,,,,
PAPUA,9.72,6.2,7.42,15.48,57.87
PAPUA SELATAN,,,,,
PAPUA TENGAH,,,,,
PAPUA PEGUNUNGAN,,,,,
INDONESIA,12.67,6.8,7.61,14.56,54.69
Catatan,,,,,
